date,epu,g_indpro,g_pce,g_emp
1997-12-01,103.6995252,0.41834462,-0.021393806,0.258528635
1998-01-01,107.9537597,0.455055272,0.049448714,0.209914031
1998-02-01,101.1494696,0.165115154,-0.05081097,0.164774954
1998-03-01,83.34761451,0.043632087,0.016042995,0.115848007
1998-04-01,74.45728445,0.336420238,0.122845202,0.225593278
1998-05-01,80.1271411,0.654583789,0.137344321,0.317846274
1998-06-01,80.88773247,-0.593994632,-0.084077351,0.183219911
1998-07-01,101.4185201,-0.398483368,0.246285745,0.103004564
1998-08-01,130.4670375,2.021035121,0.138261101,0.267884659
1998-09-01,169.0372652,-0.104774143,-0.058529318,0.15621918
1998-10-01,145.023234,0.695407562,0.219004261,0.161480898
1998-11-01,113.504746,-0.098599722,0.005308912,0.21536817
1998-12-01,110.8949835,0.4022528,0.099443119,0.293889451
1999-01-01,123.3228375,0.420623265,0.14167119,0.082221387
1999-02-01,94.9962816,0.568698662,-0.056965715,0.323139606
1999-03-01,67.02757148,0.22031317,0.075455713,0.090459628
1999-04-01,69.78789409,0.221300955,0.480857903,0.283052614
1999-05-01,64.77645683,0.60921275,0.064511882,0.164583495
1999-06-01,74.92561924,-0.067271812,0.031587676,0.215356966
1999-07-01,86.52993788,0.592099727,0.265157979,0.258070498
1999-08-01,77.02533663,0.43357509,0.180819979,0.113453064
1999-09-01,77.49835239,-0.421265907,0.357735041,0.163352109
1999-10-01,65.33707899,1.271651075,0.169440715,0.305732876
1999-11-01,76.31718243,0.527637333,0.08985311,0.219980685
1999-12-01,79.32242993,0.797332243,0.231258932,0.240097874
2000-01-01,88.98869391,-0.073830928,0.272091215,0.174797151
2000-02-01,73.3651997,0.338581381,0.312572654,0.084655278
2000-03-01,73.29862438,0.388301863,0.428268279,0.368527032
2000-04-01,70.59974192,0.637112419,-0.083665851,0.211549544
2000-05-01,118.1432082,0.273086458,0.08359591,0.168046871
2000-06-01,109.5842294,0.075262667,0.338379113,-0.034832652
2000-07-01,86.65834801,-0.174267441,0.249315979,0.125542632
2000-08-01,58.90646108,-0.268474641,-0.006393126,0.003781262
2000-09-01,73.55099247,0.395954189,0.427780253,0.094442262
2000-10-01,89.91344671,-0.349194424,0.136042313,-0.003022244
2000-11-01,166.1840324,0.021583867,0.139661258,0.151637458
2000-12-01,149.4485002,-0.342083406,0.153391732,0.124323754
2001-01-01,142.6141247,-0.495808589,0.481927711,-0.015071817
2001-02-01,128.6256554,-0.655920869,0.154935255,0.065519449
2001-03-01,137.374157,-0.262375814,0.008816676,-0.024104917
2001-04-01,148.7580034,-0.356334723,0.174768024,-0.224225403
2001-05-01,117.4362555,-0.522503897,0.26209197,-0.033229617
2001-06-01,93.46123235,-0.545853353,0.177755524,-0.087682167
2001-07-01,120.2945915,-0.607110035,-0.033810013,-0.094574453
2001-08-01,95.39996953,-0.104787698,-0.012523795,-0.111343392
2001-09-01,272.7644686,-0.524090454,-0.340550662,-0.196562061
2001-10-01,247.2942498,-0.311451411,0.350626745,-0.238109728
2001-11-01,172.4888281,-0.586271328,-0.067666629,-0.236384987
2001-12-01,149.7089302,-0.048955762,-0.10285872,-0.119861053
2002-01-01,148.4497315,0.714507752,0.090233479,-0.101641549
2002-02-01,104.6094257,-0.000452151,0.166403924,-0.091790839
2002-03-01,97.51299569,0.736848483,0.272010381,-0.008414868
2002-04-01,106.1646488,0.480608175,0.416257657,-0.079622101
2002-05-01,98.64004001,0.42342162,0.064571407,0.012248054
2002-06-01,111.149948,0.81928253,0.125260443,0.038260524
2002-07-01,139.6611169,-0.03464044,0.220269769,-0.076579647
2002-08-01,136.1190662,-0.108230487,0.196371451,0.003063092
2002-09-01,149.8482072,0.099957965,0.17999137,-0.068200279
2002-10-01,128.9736134,-0.258837818,0.18089636,0.094165563
2002-11-01,162.2214062,0.543903365,0.099578329,-0.002296774
2002-12-01,160.4113151,-0.563674783,0.095798381,-0.113436039
2003-01-01,185.5916265,0.819110007,0.297560737,0.083474372
2003-02-01,161.7597672,0.125698355,0.420685535,-0.104260098
2003-03-01,224.6472035,-0.268444134,0.255415415,-0.161249453
2003-04-01,176.5798669,-0.638960677,-0.169346979,-0.043786873
2003-05-01,122.3098305,-0.023006992,-0.114653721,0.016129404
2003-06-01,110.6955419,0.126488868,0.107220313,-0.003840482
2003-07-01,103.7482471,0.514124691,0.292777744,-0.006913345
2003-08-01,91.71417654,-0.224484446,0.336590268,-0.023049795
2003-09-01,109.55396,0.653404521,0.31260561,0.07600651
2003-10-01,78.58598676,0.128523888,0.012068258,0.143362031
2003-11-01,78.69609964,0.679500469,0.126556342,0.032954737
2003-12-01,90.34358991,0.04958111,0.220084185,0.086527049
2004-01-01,88.27759573,0.16766493,0.384564699,0.130004206
2004-02-01,88.90148508,0.603204098,0.212793937,0.043570653
2004-03-01,84.3308961,-0.383432848,0.153978371,0.241728243
2004-04-01,79.7269195,0.405878402,0.185860319,0.206224793
2004-05-01,97.20803838,0.720423834,0.323017362,0.215651434
2004-06-01,85.2744896,-0.777173895,0.2853861,0.072084924
2004-07-01,88.95650112,0.736495883,0.09228039,0.045506602
2004-08-01,84.44987825,0.087255748,0.052028521,0.065941062
2004-09-01,108.5095799,0.116276837,0.19590488,0.110537393
2004-10-01,118.3414529,0.87271366,0.427737106,0.26503968
2004-11-01,96.69576749,0.245675105,0.383953551,0.057354595
2004-12-01,66.53287701,0.777244915,0.053818165,0.093491062
2005-01-01,66.73432811,0.355119933,0.130864053,0.109204838
2005-02-01,51.69568735,0.702660271,0.277314939,0.191681763
2005-03-01,49.30863987,-0.129099693,0.29855948,0.09012189
2005-04-01,78.39587328,0.197561783,0.279190464,0.271877528
2005-05-01,75.09076519,0.10606778,0.056732662,0.127910717
2005-06-01,82.00558946,0.430473665,0.061326267,0.188890548
2005-07-01,71.93954706,-0.320637599,0.422859776,0.265828723
2005-08-01,59.61723244,0.33141108,0.401652513,0.147217369
2005-09-01,105.7698564,-1.981046027,0.955888203,0.041619906
2005-10-01,79.82999973,1.208441045,0.158872459,0.069071032
2005-11-01,60.06785223,1.083951911,-0.208101162,0.264442486
2005-12-01,70.02675641,0.493678224,0.0,0.118377343
2006-01-01,75.07923787,0.154590061,0.482096781,0.19494185
2006-02-01,69.49174528,0.048279704,0.059943224,0.225445919
2006-03-01,55.00807288,0.215367853,0.193028401,0.227139077
2006-04-01,81.65172365,0.290949554,0.461802942,0.125540522
2006-05-01,67.80979905,0.028671235,0.26894071,0.0264226
2006-06-01,82.58628252,0.340762116,0.245922713,0.059415527
2006-07-01,84.47445648,-0.062941754,0.340890102,0.142101639
2006-08-01,71.5150949,0.432750632,0.313169789,0.121444457
2006-09-01,61.75134643,-0.191391514,-0.261657685,0.099397766
2006-10-01,55.62951083,-0.096241827,-0.237725867,0.017537706
2006-11-01,49.59913099,-0.028658818,0.034586634,0.161232664
2006-12-01,51.03903886,1.01416211,0.35464541,0.134059001
2007-01-01,74.51002654,-0.355964638,0.332413656,0.162210131
2007-02-01,50.86002527,0.963391328,0.309293155,0.056705003
2007-03-01,72.52986574,0.173236884,0.365393293,0.164754211
2007-04-01,59.84139351,0.674394659,0.233875749,0.044978708
2007-05-01,71.13732015,0.041818402,0.290127985,0.108701166
2007-06-01,68.75923281,0.01800327,0.21085522,0.057216525
2007-07-01,44.78275066,-0.153410351,0.152718387,-0.021732516
2007-08-01,90.00729662,0.191665831,0.067586718,-0.018113711
2007-09-01,109.8926555,0.247597111,0.384414907,0.062272362
2007-10-01,90.64007585,-0.300390123,0.302055929,0.051384486
2007-11-01,106.5661652,0.559943174,0.526621866,0.0853267
2007-12-01,116.9908972,0.052415207,0.232078391,0.076590702
2008-01-01,177.0422066,-0.117877423,0.251856774,0.000722549
2008-02-01,108.3147367,-0.366424905,0.197877893,-0.054943863
2008-03-01,114.4745761,-0.326907246,0.285836177,-0.049184478
2008-04-01,98.19769865,-0.687992345,0.185236443,-0.157203089
2008-05-01,88.67343413,-0.609595334,0.427191876,-0.138559417
2008-06-01,89.13688333,-0.267260534,0.719840877,-0.11475136
2008-07-01,115.1027243,-0.446282189,0.46300661,-0.143281064
2008-08-01,81.16307827,-1.611327327,-0.080724635,-0.206254692
2008-09-01,238.1718742,-4.580852724,0.082752841,-0.329779611
2008-10-01,241.7722778,0.99115726,-0.664311699,-0.340440518
2008-11-01,162.713384,-1.315229407,-1.194033036,-0.551842179
2008-12-01,157.828677,-2.914000088,-0.562280024,-0.51687443
2009-01-01,184.8178304,-2.542285624,0.011802195,-0.581789974
2009-02-01,202.5479667,-0.614631858,0.177789202,-0.56859524
2009-03-01,167.9912194,-1.574710278,-0.10936344,-0.617391107
2009-04-01,107.927248,-0.805587708,0.143467415,-0.50673241
2009-05-01,125.9446213,-0.984913763,0.103745535,-0.27002358
2009-06-01,112.4726351,-0.305574972,0.59009282,-0.357246454
2009-07-01,104.3551071,1.180336132,0.010631173,-0.260980706
2009-08-01,111.1743394,1.104640227,0.289391113,-0.138718578
2009-09-01,99.00963606,0.848480549,0.16192361,-0.184275184
2009-10-01,86.24175958,0.228529682,0.377449998,-0.136857806
2009-11-01,99.77926919,0.400655328,0.249253292,-0.002306645
2009-12-01,108.3960871,0.329643681,0.058860626,-0.193362505
2010-01-01,136.8638568,1.058737923,0.218148257,-0.007704279
2010-02-01,116.7215571,0.342021873,-0.003146468,-0.075558982
2010-03-01,124.6875089,0.715205692,0.141390867,0.126285961
2010-04-01,123.7022049,0.350655711,0.054432023,0.192906275
2010-05-01,147.7632571,1.355368476,0.031393232,0.405679513
2010-06-01,129.7321983,0.215125838,-0.04187517,-0.110343982
2010-07-01,196.9472469,0.382104709,0.08577047,-0.062107039
2010-08-01,127.2281732,0.364726606,0.136836058,0.00306692
2010-09-01,186.7412481,0.287002296,0.099133883,-0.065214556
2010-10-01,154.7627409,-0.272883265,0.317262183,0.215127852
2010-11-01,175.0442836,0.079415348,0.199321063,0.102482524
2010-12-01,151.5533295,0.970026211,0.22580144,0.061910039
2011-01-01,111.4928249,-0.204187831,0.299478494,0.005349964
2011-02-01,104.5623701,-0.431645393,0.278049534,0.160241736
2011-03-01,153.8417288,1.052329169,0.401042094,0.171393313
2011-04-01,124.8465874,-0.351832573,0.420803203,0.248472691
2011-05-01,84.5491611,0.133294234,0.303443781,0.075927838
2011-06-01,139.0378982,0.286240772,-0.020369503,0.175842833
2011-07-01,207.1603073,0.472415446,0.169796549,0.041669508
2011-08-01,283.6655748,0.634931317,0.234317942,0.100663014
2011-09-01,214.4261053,-0.072399638,0.14079799,0.166987797
2011-10-01,137.8392521,0.69420351,0.002025829,0.159931199
2011-11-01,143.7145629,-0.00114953,0.205199741,0.108514631
2011-12-01,183.0886071,0.522382939,0.0565748,0.150487957
2012-01-01,154.4180208,0.604676634,0.341310673,0.258919592
2012-02-01,119.43544,0.326378354,0.223014717,0.203717851
2012-03-01,98.74810531,-0.521782882,0.190504838,0.168979543
2012-04-01,96.96967117,0.721831312,0.131175776,0.06202037
2012-05-01,135.8798511,0.196029555,-0.112276199,0.080636129
2012-06-01,197.4609789,0.010872252,-0.050148439,0.053728537
2012-07-01,180.8035422,0.200937229,0.036093844,0.108830962
2012-08-01,142.9553013,-0.396789102,0.334748938,0.131765056
2012-09-01,182.1071855,-0.069725612,0.30285219,0.135303913
2012-10-01,166.1284041,0.311864059,0.295996106,0.118065508
2012-11-01,205.8646602,0.399759021,-0.067588387,0.12088939
2012-12-01,214.9519488,0.269250823,-0.015905679,0.178419397
2013-01-01,199.3589422,0.004582349,0.192485142,0.140465013
2013-02-01,128.5625134,0.476724707,0.364783107,0.205837219
2013-03-01,146.1158616,0.409270197,-0.131653188,0.106862015
2013-04-01,135.4405916,-0.114180858,-0.078261214,0.137625482
2013-05-01,109.0280432,0.091765625,0.065340065,0.157982526
2013-06-01,126.6258694,0.187117603,0.215355435,0.130623986
2013-07-01,91.43749003,-0.320037847,0.124316751,0.089448717
2013-08-01,108.7583782,0.582980507,0.15367944,0.178577963
2013-09-01,179.8897364,0.5329916,0.039389463,0.134484246
2013-10-01,225.3733071,-0.118894759,0.169088299,0.160538241
2013-11-01,89.91517307,0.245392403,0.156064428,0.200270912
2013-12-01,115.0207376,0.210803794,0.198855844,0.039310465
2014-01-01,107.7051288,-0.378703787,0.18967911,0.133767593
2014-02-01,93.36929826,0.753585561,0.058629248,0.112557822
2014-03-01,101.018732,1.00062195,0.199916133,0.202194426
2014-04-01,96.99343089,0.064609569,0.193689046,0.225599792
2014-05-01,102.0150429,0.407688682,0.171979907,0.146569339
2014-06-01,85.96846752,0.3306088,0.112583103,0.239136228
2014-07-01,78.50598746,0.211736855,0.150208354,0.174724611
2014-08-01,63.87733632,-0.155957458,-0.012599707,0.130692671
2014-09-01,86.21660154,0.312106711,0.025193066,0.218539298
2014-10-01,113.3345834,0.011263317,-0.025199415,0.173098244
2014-11-01,93.18594253,0.628134643,-0.076626123,0.202728266
2014-12-01,87.41532796,-0.005500099,-0.153487468,0.197341236
2015-01-01,120.54423,-0.78833812,-0.463572927,0.139440247
2015-02-01,87.60946942,-0.658435086,0.164662782,0.189591632
2015-03-01,95.97896261,-0.321436989,0.19157647,0.067412222
2015-04-01,103.544957,-0.572873454,0.076766106,0.196881064
2015-05-01,102.3186965,-0.457418414,0.238473768,0.238801752
2015-06-01,115.8802867,-0.303449209,0.193505941,0.109389887
2015-07-01,98.73479281,0.620245052,0.082172446,0.207058293
2015-08-01,156.5036298,-0.159494057,0.000966725,0.099204953
2015-09-01,171.9326776,-0.291602542,-0.148128068,0.094893333
2015-10-01,110.7019377,-0.462734224,-0.014524469,0.224427534
2015-11-01,89.58371044,-0.75313109,0.060965579,0.157551992
2015-12-01,101.9634329,-0.504553311,-0.081353568,0.190798348
2016-01-01,154.8573306,0.519627815,0.051303893,0.080308384
2016-02-01,148.3217888,-0.548155158,-0.061990275,0.147827906
2016-03-01,130.4901593,-0.736220436,0.230960273,0.178191082
2016-04-01,96.41341581,0.280500351,0.329406779,0.132076521
2016-05-01,96.22233274,-0.218927287,0.148109678,0.031271499
2016-06-01,233.956103,0.481831303,0.190064795,0.17412176
2016-07-01,164.4584005,0.109777814,0.041259667,0.251184998
2016-08-01,106.8856228,-0.08161579,0.14946251,0.10299729
2016-09-01,86.34353838,-0.097101549,0.173114629,0.204882693
2016-10-01,108.0641248,0.073532242,0.220449297,0.074447332
2016-11-01,254.1013278,-0.393511834,0.038158472,0.08265089
2016-12-01,161.4247862,0.692911541,0.181875315,0.150610695
2017-01-01,195.0406301,-0.235529415,0.370939587,0.158611361
2017-02-01,177.777717,-0.372337507,0.153452685,0.141245843
2017-03-01,154.6096951,0.640076393,-0.054970051,0.089056345
2017-04-01,157.6765228,0.941822771,0.219397791,0.134772733
2017-05-01,129.8880577,0.120245364,-0.028378455,0.148235182
2017-06-01,120.638462,0.194072563,0.095449605,0.135754632
2017-07-01,141.138335,-0.228383721,0.025509722,0.125364511
2017-08-01,137.8597036,-0.43195049,0.236584883,0.091894872
2017-09-01,116.6200175,0.104642142,0.373740504,0.06258546
2017-10-01,125.8658439,1.217349633,0.147213262,0.100579692
2017-11-01,111.2826865,0.25834562,0.165691552,0.156062344
2017-12-01,140.3501816,0.194761737,0.144886895,0.097613221
2018-01-01,160.9672048,-0.062528416,0.355805592,0.100900657
2018-02-01,114.7555583,0.365251126,0.244367015,0.262059463
2018-03-01,187.0958899,0.467997664,0.141031946,0.150390138
2018-04-01,139.0353864,1.066989979,0.195392081,0.097691779
2018-05-01,162.2766973,-0.933381905,0.189476214,0.221169036
2018-06-01,134.402771,0.776510673,0.114478798,0.141643059
2018-07-01,176.2050781,0.136451525,0.092236457,0.037578344
2018-08-01,114.9613709,0.718000551,0.07833957,0.167479501
2018-09-01,120.9851907,0.035920748,0.217035443,0.059587175
2018-10-01,136.1146533,-0.171637979,0.170761265,0.110348702
2018-11-01,164.9422023,0.058653451,0.041296148,0.064161687
2018-12-01,226.5768878,-0.005865689,0.020185153,0.122158806
2019-01-01,284.1359377,-0.601317559,-0.012846747,0.205843559
2019-02-01,123.639288,-0.528838112,0.154838473,-0.014657677
2019-03-01,180.6316997,-0.000583495,0.27137414,0.151676424
2019-04-01,109.6863735,-0.567736711,0.306977592,0.161394234
2019-05-01,160.858154,0.16705852,0.069181474,0.044479851
2019-06-01,207.9913723,0.068397384,0.071860645,0.110744909
2019-07-01,207.7454617,-0.456463014,0.144422039,0.054348186
2019-08-01,282.522931,0.731498004,0.03450405,0.153529525
2019-09-01,186.6406966,-0.237878116,0.068053753,0.136798002
2019-10-01,159.5113928,-0.914645549,0.195611422,0.085178313
2019-11-01,170.4803411,0.534322747,0.041640641,0.141762604
2019-12-01,190.5049253,-0.259118213,0.241114001,0.067209615
