date,unit,g_rgdp,g_cpi,sti,g_oil,g_gas
2014-06-30,de,-0.09420631879013541,0.18791699601115042,0.039033898305084753,2.536979561338626,-10.092801308415567
2014-09-30,de,0.28235312876070395,0.44021988387994426,-0.024967213114754094,-5.751380587245247,-12.38448623746402
2014-12-31,de,0.8423072729108583,-0.2807676154198191,-0.1308688524590164,-29.688246503311078,-0.46855605957398794
2015-03-31,de,0.09315324381118373,-0.3097576044133632,-0.20226229508196722,-36.900995491868386,-17.872850023726716
2015-06-30,de,0.5571045049455492,0.6185586732709858,-0.29231147540983604,15.882705061233438,-13.531584641253414
2015-09-30,de,0.2773926882724709,0.09338812781827244,-0.296469696969697,-21.47379679902439,-2.6725632634033047
2015-12-31,de,0.27662534928900584,-0.09338812781827244,-0.3463387096774195,-14.435292183290827,-16.300594566312387
2016-03-31,de,0.7339482488045945,-0.3744270966195451,-0.48446451612903235,-25.48778158346923,-16.131725611915115
2016-06-30,de,0.4559971421695508,0.46781522443781753,-0.5607338461538461,31.412507498176325,-5.384465762455681
2016-09-30,de,0.18181823190577262,0.4656369001740046,-0.7418787878787876,-0.24588649457850664,19.30683848250596
2016-12-31,de,0.4531045359600583,0.5559173030848186,-0.8134375,9.344789970468748,7.4465476917245255
1960-06-30,es,0.6130206366179891,0.0,4.670999999999998,0.0,0.0
1960-09-30,es,1.7584523321247048,0.0,4.670999999999998,0.0,0.0
1960-12-31,es,2.9411446234247407,1.0471299867295336,4.670999999999998,0.0,0.0
1961-03-31,es,4.022084736506937,0.3466207976486224,4.670999999999998,-3.7504465667605125,3.2955847613321376
1961-06-30,es,3.3721224826432916,-0.6944472352810926,4.670999999999998,0.0,0.0
1961-09-30,es,2.7812128470475095,-0.3490404939768599,4.670999999999998,0.0,0.0
1961-12-31,es,2.409669706764017,1.7331456351640018,4.670999999999998,0.0,0.0
1962-03-31,es,2.062728155493687,1.0256500167189042,4.670999999999998,-3.2365284502031577,3.190432152557654
1962-06-30,es,2.206981153458276,3.0153038170687374,4.670999999999998,0.0,0.0
1962-09-30,es,2.340960163757444,0.9852296443011666,4.670999999999998,0.0,0.0
1962-12-31,es,2.494152058280097,3.215711163453139,4.670999999999998,0.0,0.0
1963-03-31,es,2.6348150328265874,3.1155167779795434,4.670999999999998,-1.3245226750020767,-1.6638351295601428
1963-06-30,es,2.169065776166512,1.2195273093818404,4.670999999999998,0.0,0.0
1963-09-30,es,1.7317305989220877,0.6042314455962483,4.670999999999998,0.0,0.0
1963-12-31,es,1.3092779319053172,1.4947961435873403,4.670999999999998,0.0,0.0
1964-03-31,es,0.9029089667956569,0.5917177028088583,4.670999999999998,-3.390155167568137,-4.178984876552505
