date,ip_growth,inflation,tbill_3m,fci
1979-05-01,0.771756217232688,1.1267724846343,0.800833333333333,0.47
1979-06-01,-0.0133492105300891,1.11421765532417,0.755,0.68
1979-07-01,-0.163624165739717,1.101939524961,0.77,0.93
1979-08-01,-0.663039566900192,0.954335804690043,0.793333333333333,1.26
1979-09-01,0.12360796408033,0.945314264375518,0.855,1.66
1979-10-01,0.528772223282558,1.06952891167475,0.975,2.06
1979-11-01,-0.0880317591651635,1.05821093305369,0.982499999999999,2.23
1979-12-01,0.0957841478737897,1.17725362252674,1.00333333333333,1.92
1980-01-01,0.432598475683043,1.42029501779932,1.0,1.66
1980-02-01,0.0571015207219804,1.27390257774298,1.07166666666666,1.89
1980-03-01,-0.319492792477094,1.38280016072922,1.26666666666666,2.92
1980-04-01,-2.04369155816244,0.993796999013252,1.1,3.55
1980-05-01,-2.45478301854111,0.984017780151091,0.715,2.87
1980-06-01,-1.24831583458187,0.97442914746777,0.589166666666666,1.73
1980-07-01,-0.654592796895148,0.121138718629776,0.671666666666666,0.9
1980-08-01,0.269016706962821,0.723766730023012,0.760833333333333,0.76
1980-09-01,1.62174870739675,0.837826564599808,0.855833333333333,1.03
1980-10-01,1.23307364766138,0.948998818484803,0.968333333333333,1.44
1980-11-01,1.7282712066756,1.05696814896871,1.14416666666666,2.21
1980-12-01,0.580521590467597,0.930239266231414,1.29083333333333,2.89
1981-01-01,-0.548694728327525,0.921665510492353,1.25166666666666,2.71
1981-02-01,-0.492286874453462,0.913248356327312,1.2325,2.02
1981-03-01,0.53156532974401,0.67950431328283,1.11333333333333,1.62
1981-04-01,-0.44395801011392,0.562747686572873,1.14083333333333,1.7
1981-05-01,0.628948347446245,0.671143458798617,1.35833333333333,2.22
1981-06-01,0.454448463925505,0.88790816411306,1.2275,2.86
1981-07-01,0.642161042829814,1.09891215755952,1.24583333333333,3.24
1981-08-01,-0.0166727735932958,0.762115828107212,1.2925,3.06
1981-09-01,-0.628609952448355,0.971405372047318,1.225,2.81
1981-10-01,-0.692686517829654,0.321716095177571,1.12833333333333,2.6
1981-11-01,-1.12119761409217,0.427351077738169,0.904999999999999,2.3
1981-12-01,-1.10980061060517,0.319319057915557,0.904166666666666,2.0
1982-01-01,-1.97633728312753,0.318302656012115,1.02333333333333,1.79
1982-02-01,1.92871340236822,0.317292704057692,1.12333333333333,1.83
1982-03-01,-0.74462881295112,0.0,1.05666666666666,1.94
1982-04-01,-0.88352877521407,0.316289140850845,1.05833333333333,1.99
1982-05-01,-0.616405499315098,0.942909028885186,1.0075,2.17
1982-06-01,-0.327780038659719,1.14049966139901,1.03916666666666,2.54
1982-07-01,-0.325133675801847,0.514139950041858,0.945833333333333,2.61
1982-08-01,-0.828337153743552,0.204918104493589,0.723333333333333,2.65
1982-09-01,-0.317400551269253,0.0,0.66,3.05
1982-10-01,-0.893865397849635,0.408580752258025,0.6425,2.36
1982-11-01,-0.389087849333114,-0.101988790074525,0.6725,1.14
1982-12-01,-0.725290693510993,-0.3065919621835,0.661666666666666,0.59
1983-01-01,1.87840262202891,0.20449904877271,0.655,0.2
1983-02-01,-0.606619159538102,0.102092913410789,0.675833333333333,-0.02
1983-03-01,0.804246027413579,0.101988790074525,0.695833333333333,-0.11
1983-04-01,1.20800852844174,0.711023818250478,0.684166666666666,-0.17
1983-05-01,0.693117342594629,0.404040953700501,0.6825,-0.31
1983-06-01,0.568033366599785,0.201409937170105,0.732499999999999,-0.31
1983-07-01,1.50868160103341,0.401606965488987,0.756666666666666,-0.22
1983-08-01,1.10791446159863,0.300150300375623,0.778333333333333,-0.18
1983-09-01,1.51915439200469,0.299252093645474,0.75,-0.21
1983-10-01,0.807052745860792,0.3976148379639,0.72,-0.12
1983-11-01,0.339472002613661,0.297177038915741,0.73,-0.02
1983-12-01,0.497331925814048,0.29629651306573,0.75,-0.02
1984-01-01,1.9791185454804,0.687963401353641,0.741666666666666,-0.14
1984-02-01,0.476928675456411,0.488520756604948,0.7575,-0.23
1984-03-01,0.466248507071576,0.291971010333469,0.793333333333333,-0.2
